canonical_character_id,preferred_label,canonical_definition,first_definition_source,first_occurrence,origin_type,parent_canonical_ids,parent_relationship,source_reference_codes,related_non_equivalent_concepts,confidence,all_occurrence_count,analysis_occurrence_count,analysis_matrix_count,matrices_present,reference_layer_present,earliest_analysis_year,latest_analysis_year,analysis_span_years,review_status,freeze_phase1_status,freeze_phase1_recommended_confidence,freeze_phase1_note,freeze_phase2_status,freeze_phase2_recommended_confidence,freeze_phase2_note,phase2_parent_canonical_id,freeze_phase3_C12_status,freeze_phase3_C12_recommended_confidence,freeze_phase3_C12_note,freeze_phase4_DE12_status,freeze_phase4_DE12_recommended_confidence,freeze_phase4_DE12_note,freeze_phase5_GA11_status,freeze_phase5_GA11_recommended_confidence,freeze_phase5_GA11_note,freeze_phase6_M26_status,freeze_phase6_M26_recommended_confidence,freeze_phase6_M26_note,v1_freeze_status,v1_freeze_confidence,v1_freeze_note
MC0011,LACRIMAL_ANTERIOR_PROCESS_ABSEN,"Lacrimal, anterior process: present (0); absent (1).",Wilson (2002),WIL02_REF:C11,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0012,J-ECT CONTACT ABSENT,Jugal-ectopterygoid contact: present (0); absent (1).,Wilson (2002),WIL02_REF:C12,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,FROZEN_WITH_PHASE2_REDIRECT,high,Retained canonical ID gained M19/M26 occurrences through a source/definition-level Phase-2 redirect.,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0013,J_CONTR_TO_AOF,"Jugal, contribution to antorbital fenestra: very reduced or absent (0); large, bordering approxi- mately one-third its perimeter (1).",Wilson (2002),WIL02_REF:C13,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0014,PRF_ENLARGED,"Prefrontal, posterior process size: small, not pro- jecting far posterior of frontal-nasal suture (0); elongate, approaching parietal (1).",Wilson (2002),WIL02_REF:C14,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0015,PRF_HOOK,"Prefrontal, posterior process shape: flat (0); hooked (1).",Wilson (2002),WIL02_REF:C15,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0016,PO_BROAD_TRANSVERSELY,"Postorbital, ventral process shape: transversely narrow (0); broader transversely than anteropos- teriorly (1).",Wilson (2002),WIL02_REF:C16,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,FROZEN_WITH_PHASE2_REDIRECT,high,Retained canonical ID gained M19/M26 occurrences through a source/definition-level Phase-2 redirect.,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0017,PO_LACKS_POSTERIOR_PR.,"Postorbital, posterior process: present (0); absent (1).",Wilson (2002),WIL02_REF:C17,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,FROZEN_WITH_PHASE2_REDIRECT,high,Retained canonical ID gained M19/M26 occurrences through a source/definition-level Phase-2 redirect.,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0018,FRONTAL_EXC_FROM_STFOSSA,Frontal contribution to supratemporal fossa: present (0); absent (1).,Wilson (2002),WIL02_REF:C18,baseline,,,,,high,8,7,7,WU09; KN10; GA11; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,FROZEN_WITH_PHASE2_REDIRECT,high,Retained canonical ID gained M19/M26 occurrences through a source/definition-level Phase-2 redirect.,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0019,FRONTALS_FUSED,"Frontals, midline contact (symphysis): sutured (0) or fused (1) in adult individuals.",Wilson (2002),WIL02_REF:C19,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0020,FRONTALS_BROAD,"Frontal, anteroposterior length: approximately twice (0) or less than (1) minimum transverse breadth.",Wilson (2002),WIL02_REF:C20,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,FROZEN_WITH_PHASE2_REDIRECT,high,Retained canonical ID gained M19/M26 occurrences through a source/definition-level Phase-2 redirect.,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0021,PARIETAL_OCC_PR_DEEP,"Parietal occipital process, dorsoventral height: short, less than the diameter of the foramen magnum (0); deep, nearly twice the diameter of the foramen magnum (1).",Wilson (2002),WIL02_REF:C21,baseline,,,,,high,8,7,7,WU09; KN10; GA11; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0022,PA_EXCL_FROM_POSTT_FEN,"Parietal, contribution to post-temporal fenestra: present (0); absent (1).",Wilson (2002),WIL02_REF:C22,baseline,,,,,high,8,7,7,WU09; KN10; GA11; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0023,POSTPARIETAL_F.,Postparietal foramen: absent (0); present (1).,Wilson (2002),WIL02_REF:C23,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0024,P_SEPARATION,"Parietal, distance separating supratemporal fenestrae: less than (0) or twice (1) the long axis of supratemporal fenestra.",Wilson (2002),WIL02_REF:C24,baseline,,,,,high,9,8,8,WU09; KN10; GA11; C12; DE12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0025,STF_ABSENT,Supratemporal fenestra: present (0); absent (1). 260,Wilson (2002),WIL02_REF:C25,baseline,,,,,high,6,5,5,WU09; KN10; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0026,STF_LONG_AXIS_TRANSVERSE,"Supratemporal fenestra, long axis orientation: anteroposterior (0); transverse (1).",Wilson (2002),WIL02_REF:C26,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0027,STF< FMAGNUM,"Supratemporal fenestra, maximum diameter: much longer than (0) or subequal to (1) that of foramen magnum.",Wilson (2002),WIL02_REF:C27,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0028,SUPRATEMPORAL_REGION_SHORTENED,"Supratemporal region, anteroposterior length: temporal bar longer (0) or shorter (1) anteropos- teriorly than transversely.",Wilson (2002),WIL02_REF:C28,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0029,SUPTRATEMPORAL_FOSSA_EXP_LAT,"Supratemporal fossa, lateral exposure: not visible laterally, obscured by temporal bar (0); visible laterally, temporal bar shifted ventrally (1).",Wilson (2002),WIL02_REF:C29,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0030,LTF_EXTENDS_BELOW_ORBIT,"Laterotemporal fenestra, anterior extension: posterior to orbit (0); ventral to orbit (1).",Wilson (2002),WIL02_REF:C30,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,FROZEN_WITH_PHASE2_REDIRECT,high,Retained canonical ID gained M19/M26 occurrences through a source/definition-level Phase-2 redirect.,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0031,SQ-QJ CONTACT ABSENT,Squamosal-quadratojugal contact: present (0); absent (1).,Wilson (2002),WIL02_REF:C31,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0032,QJ_ANT_RAMUS_ELONGATE,"Quadratojugal, anterior process length: short, anterior process shorter than dorsal process (0); long, anterior process more than twice as long as dorsal process (1).",Wilson (2002),WIL02_REF:C32,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0033,QUADRATE_FOSS,Quadrate fossa: absent (0); present (1).,Wilson (2002),WIL02_REF:C33,baseline,,,,,high,4,3,3,WU09; KN10; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0034,Q_FOSSA_DEEP,"Quadrate fossa, depth: shallow (0); deeply invag- inated (1).",Wilson (2002),WIL02_REF:C34,baseline,,,,,high,4,3,3,WU09; KN10; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0035,Q FOSSA ORIENTED POST-LAT,"Quadrate fossa, orientation: posterior (0); poste- rolateral (1).",Wilson (2002),WIL02_REF:C35,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0036,PT-BPT CONTACT (HOOK/ROCKER),"Palatobasal contact, shape: pterygoid with small facet (0), dorsomedially orientated hook (1), or rocker-like surface (2) for basipterygoid articulation.",Wilson (2002),WIL02_REF:C36,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0037,PT_HOOK_POSITION,"Pterygoid, transverse flange (i.e. ectopterygoid process) position: posterior of orbit (0); between orbit and antorbital fenestra (1); anterior to antorbital fenestra (2).",Wilson (2002),WIL02_REF:C37,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0038,"PT, Q FLANGE REDUCED","Pterygoid, quadrate flange size: large, palato- basal and quadrate articulations well separated (0); small, palatobasal and quadrate articula- tions approach (1).",Wilson (2002),WIL02_REF:C38,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0039,PT_PAL_RAMUS_SHAPE,"Pterygoid, palatine ramus shape: straight, at level of dorsal margin of quadrate ramus (0); stepped, raised above level of quadrate ramus (1).",Wilson (2002),WIL02_REF:C39,baseline,,,,,high,7,6,6,WU09; KN10; C12; W02; M19; M26,yes,2009,2026,17,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0040,PAL_LATERAL_RAMUS_NARROW,"Palatine, lateral ramus shape: plate-shaped (long maxillary contact) (0); rod-shaped (narrow max- illary contact) (1).",Wilson (2002),WIL02_REF:C40,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
MC0041,EPIPTERYGOID,Epipterygoid: present (0); absent (1).,Wilson (2002),WIL02_REF:C41,baseline,,,,,high,5,4,4,WU09; KN10; C12; W02,yes,2009,2014,5,frozen-v1.0,NOT_YET_AUDITED,,,NOT_PHASE2_TARGET,,,,NOT_PHASE3_C12_TARGET,,,NOT_PHASE4_DE12_TARGET,,,NOT_PHASE5_GA11_TARGET,,,NOT_PHASE6_M26_TARGET,,,FROZEN_V1,high,Canonical identity frozen in MacronariaMatrix v1.0.0 after the multi-phase lineage and duplicate audit.
