occurrence_id,matrix_id,dataset_name,dataset_role,year,source_character_no,canonical_character_id,original_canonical_character_id,source_label,source_definition,source_states,ordering,source_block,relationship_to_canonical,parent_occurrence,parent_canonical_ids,definition_source,source_attribution,source_reference_codes,related_non_equivalent_concepts,mapping_confidence,top_candidates,notes
WIL02_REF:C21,WIL02_REF,Wilson (2002) reference layer,reference,2002,21,MC0021,MC0021,PARIETAL_OCC_PR_DEEP,"Parietal occipital process, dorsoventral height: short, less than the diameter of the foramen magnum (0); deep, nearly twice the diameter of the foramen magnum (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C22,WIL02_REF,Wilson (2002) reference layer,reference,2002,22,MC0022,MC0022,PA_EXCL_FROM_POSTT_FEN,"Parietal, contribution to post-temporal fenestra: present (0); absent (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C23,WIL02_REF,Wilson (2002) reference layer,reference,2002,23,MC0023,MC0023,POSTPARIETAL_F.,Postparietal foramen: absent (0); present (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C24,WIL02_REF,Wilson (2002) reference layer,reference,2002,24,MC0024,MC0024,P_SEPARATION,"Parietal, distance separating supratemporal fenestrae: less than (0) or twice (1) the long axis of supratemporal fenestra.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C25,WIL02_REF,Wilson (2002) reference layer,reference,2002,25,MC0025,MC0025,STF_ABSENT,Supratemporal fenestra: present (0); absent (1). 260,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C26,WIL02_REF,Wilson (2002) reference layer,reference,2002,26,MC0026,MC0026,STF_LONG_AXIS_TRANSVERSE,"Supratemporal fenestra, long axis orientation: anteroposterior (0); transverse (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C27,WIL02_REF,Wilson (2002) reference layer,reference,2002,27,MC0027,MC0027,STF< FMAGNUM,"Supratemporal fenestra, maximum diameter: much longer than (0) or subequal to (1) that of foramen magnum.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C28,WIL02_REF,Wilson (2002) reference layer,reference,2002,28,MC0028,MC0028,SUPRATEMPORAL_REGION_SHORTENED,"Supratemporal region, anteroposterior length: temporal bar longer (0) or shorter (1) anteropos- teriorly than transversely.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C29,WIL02_REF,Wilson (2002) reference layer,reference,2002,29,MC0029,MC0029,SUPTRATEMPORAL_FOSSA_EXP_LAT,"Supratemporal fossa, lateral exposure: not visible laterally, obscured by temporal bar (0); visible laterally, temporal bar shifted ventrally (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C30,WIL02_REF,Wilson (2002) reference layer,reference,2002,30,MC0030,MC0030,LTF_EXTENDS_BELOW_ORBIT,"Laterotemporal fenestra, anterior extension: posterior to orbit (0); ventral to orbit (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C31,WIL02_REF,Wilson (2002) reference layer,reference,2002,31,MC0031,MC0031,SQ-QJ CONTACT ABSENT,Squamosal-quadratojugal contact: present (0); absent (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C32,WIL02_REF,Wilson (2002) reference layer,reference,2002,32,MC0032,MC0032,QJ_ANT_RAMUS_ELONGATE,"Quadratojugal, anterior process length: short, anterior process shorter than dorsal process (0); long, anterior process more than twice as long as dorsal process (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C33,WIL02_REF,Wilson (2002) reference layer,reference,2002,33,MC0033,MC0033,QUADRATE_FOSS,Quadrate fossa: absent (0); present (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C34,WIL02_REF,Wilson (2002) reference layer,reference,2002,34,MC0034,MC0034,Q_FOSSA_DEEP,"Quadrate fossa, depth: shallow (0); deeply invag- inated (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C35,WIL02_REF,Wilson (2002) reference layer,reference,2002,35,MC0035,MC0035,Q FOSSA ORIENTED POST-LAT,"Quadrate fossa, orientation: posterior (0); poste- rolateral (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C36,WIL02_REF,Wilson (2002) reference layer,reference,2002,36,MC0036,MC0036,PT-BPT CONTACT (HOOK/ROCKER),"Palatobasal contact, shape: pterygoid with small facet (0), dorsomedially orientated hook (1), or rocker-like surface (2) for basipterygoid articulation.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C37,WIL02_REF,Wilson (2002) reference layer,reference,2002,37,MC0037,MC0037,PT_HOOK_POSITION,"Pterygoid, transverse flange (i.e. ectopterygoid process) position: posterior of orbit (0); between orbit and antorbital fenestra (1); anterior to antorbital fenestra (2).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C38,WIL02_REF,Wilson (2002) reference layer,reference,2002,38,MC0038,MC0038,"PT, Q FLANGE REDUCED","Pterygoid, quadrate flange size: large, palato- basal and quadrate articulations well separated (0); small, palatobasal and quadrate articula- tions approach (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C39,WIL02_REF,Wilson (2002) reference layer,reference,2002,39,MC0039,MC0039,PT_PAL_RAMUS_SHAPE,"Pterygoid, palatine ramus shape: straight, at level of dorsal margin of quadrate ramus (0); stepped, raised above level of quadrate ramus (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C40,WIL02_REF,Wilson (2002) reference layer,reference,2002,40,MC0040,MC0040,PAL_LATERAL_RAMUS_NARROW,"Palatine, lateral ramus shape: plate-shaped (long maxillary contact) (0); rod-shaped (narrow max- illary contact) (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C41,WIL02_REF,Wilson (2002) reference layer,reference,2002,41,MC0041,MC0041,EPIPTERYGOID,Epipterygoid: present (0); absent (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C42,WIL02_REF,Wilson (2002) reference layer,reference,2002,42,MC0042,MC0042,VOMER_ARTICULATION,"Vomer, anterior articulation: maxilla (0); premaxilla (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C43,WIL02_REF,Wilson (2002) reference layer,reference,2002,43,MC0043,MC0043,SO < F.MAGNUM HEIGHT,"Supraoccipital, height: twice (0) subequal to or less than (1) height of foramen magnum.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C44,WIL02_REF,Wilson (2002) reference layer,reference,2002,44,MC0044,MC0044,POP W/NONARTICULAR VENT PR,"Paroccipital process, ventral nonarticular pro- cess: absent (0); present (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C45,WIL02_REF,Wilson (2002) reference layer,reference,2002,45,MC0045,MC0045,DORSOLATERAL_PROCESS_OF_PRO,"Crista prootica, size: rudimentary (0); expanded laterally into ‘dorsolateral process’ (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C46,WIL02_REF,Wilson (2002) reference layer,reference,2002,46,MC0046,MC0046,BPT_LENGTH,"Basipterygoid processes, length: short, approxi- mately twice (0) or elongate, at least four times (1) basal diameter.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C47,WIL02_REF,Wilson (2002) reference layer,reference,2002,47,MC0047,MC0047,BPT_SPREAD,"Basipterygoid processes, angle of divergence: approximately 45° (0); less than 30° (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C48,WIL02_REF,Wilson (2002) reference layer,reference,2002,48,MC0048,MC0048,BASAL TUBERA-SHEETINLIKE,"Basal tubera, anteroposterior depth: approxi- mately half dorsoventral height (0); sheet-like, 20% dorsoventral height (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C49,WIL02_REF,Wilson (2002) reference layer,reference,2002,49,MC0049,MC0049,BT_NARROW,"Basal tubera, breadth: much broader than (0) or narrower than occipital condyle (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C50,WIL02_REF,Wilson (2002) reference layer,reference,2002,50,MC0050,MC0050,BS_DEPRESSION,Basioccipital depression between foramen mag- num and basal tubera: absent (0); present (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C51,WIL02_REF,Wilson (2002) reference layer,reference,2002,51,MC0051,MC0051,BS/BPT RECESS,Basisphenoid/basipterygoid recess: present (0); absent (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C52,WIL02_REF,Wilson (2002) reference layer,reference,2002,52,MC0052,MC0052,BS-Q CONTACT,Basisphenoid-quadrate contact: absent (0); present (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C53,WIL02_REF,Wilson (2002) reference layer,reference,2002,53,MC0053,MC0053,BPT_ORIENTATION,"Basipterygoid processes, orientation: perpendic- ular to (0) or angled approximately 45° to (1) skull roof.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C54,WIL02_REF,Wilson (2002) reference layer,reference,2002,54,MC0054,MC0054,OCCIPUT_FLAT,"Occipital region of skull, shape: anteroposteri- orly deep, paroccipital processes oriented posterolaterally (0); flat, paroccipital processes oriented transversely (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C55,WIL02_REF,Wilson (2002) reference layer,reference,2002,55,MC0055,MC0055,D_DEEPENS_ANTERIORLY,"Dentary, depth of anterior end of ramus: slightly less than that of dentary at midlength (0); 150% minimum depth (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C56,WIL02_REF,Wilson (2002) reference layer,reference,2002,56,MC0056,MC0056,D_WITH_CHIN,"Dentary, anteroventral margin shape: gently rounded (0); sharply projecting triangular pro- cess or ‘chin’ (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C57,WIL02_REF,Wilson (2002) reference layer,reference,2002,57,MC0057,MC0057,DENTARY_SYMPH_PERP_TO_RAMUS,"Dentary symphysis, orientation: angled 15° or more anteriorly to (0) or perpendicular to (1) axis of jaw ramus.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C58,WIL02_REF,Wilson (2002) reference layer,reference,2002,58,MC0058,MC0058,EMF_CLOSED,External mandibular fenestra: present (0); absent (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C59,WIL02_REF,Wilson (2002) reference layer,reference,2002,59,MC0059,MC0059,CORONOID,Surangular depth: less than twice (0) or more than two and one-half times (1) maximum depth of the angular.,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C60,WIL02_REF,Wilson (2002) reference layer,reference,2002,60,MC0060,MC0060,SA_RIDGE,Surangular ridge separating adductor and artic- ular fossae: absent (0); present (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C61,WIL02_REF,Wilson (2002) reference layer,reference,2002,61,MC0061,MC0061,ADDUCTOR_F_MED_WALL_DEPTH,"Adductor fossa, medial wall depth: shallow (0); deep, prearticular expanded dorsoventrally (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C62,WIL02_REF,Wilson (2002) reference layer,reference,2002,62,MC0062,MC0062,SPL_POST_PR_SEP_ANG_AND_PRART,"Splenial posterior process, position: overlapping angular (0); separating anterior portions of prearticular and angular (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C63,WIL02_REF,Wilson (2002) reference layer,reference,2002,63,MC0063,MC0063,SPL W/DISTINCT ANT&D PR'S,"Splenial posterodorsal process: present, approaching margin of adductor chamber (0); absent (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C64,WIL02_REF,Wilson (2002) reference layer,reference,2002,64,MC0064,MC0064,CORONOID_REDUCED,"Coronoid, size: extending to dorsal margin of jaw (0); reduced, not extending dorsal to splenial (1); absent (2).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C65,WIL02_REF,Wilson (2002) reference layer,reference,2002,65,MC0065,MC0065,TOOTH_ROWS_ARCHED,"Tooth rows, shape of anterior portions: narrowly arched, anterior portion of tooth rows V-shaped (0); broadly arched, anterior portion of tooth rows U-shaped (1); rectangular, tooth-bearing portion of jaw perpendicular to jaw rami (2).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C66,WIL02_REF,Wilson (2002) reference layer,reference,2002,66,MC0066,MC0066,TOOTH_ROWS_RESTICTED_ANTERIORLY,"Tooth rows, length: extending to orbit (0); res- tricted anterior to orbit (1); restricted anterior to subnarial foramen (2).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C67,WIL02_REF,Wilson (2002) reference layer,reference,2002,67,MC0067,MC0067,PRECISE_OCCLUSION,Crown-to-crown occlusion: absent (0); present (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C68,WIL02_REF,Wilson (2002) reference layer,reference,2002,68,MC0068,MC0068,V_SHAPED_WEAR_FACETS,"Occlusal pattern: interlocking, V-shaped facets (0); high-angled planar facets (1); low-angled pla- nar facets (2).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C69,WIL02_REF,Wilson (2002) reference layer,reference,2002,69,MC0069,MC0069,TOOTH_CROWN_OVERLAP,"Tooth crowns, orientation: aligned along jaw axis, crowns do not overlap (0); aligned slightly anterolingually, tooth crowns overlap (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C70,WIL02_REF,Wilson (2002) reference layer,reference,2002,70,MC0070,MC0070,SPATULATE_CROWNS,"Tooth crowns, cross-sectional shape at mid- crown: elliptical (0); D-shaped (1); cylindrical (2).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C71,WIL02_REF,Wilson (2002) reference layer,reference,2002,71,MC0071,MC0071,WRINKLED_ENAMEL,Enamel surface texture: smooth (0); wrinkled (1).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C72,WIL02_REF,Wilson (2002) reference layer,reference,2002,72,MC0072,MC0072,DENTICLES_ABSENT,Marginal tooth denticles: present (0); absent on posterior edge (1); absent on both anterior and posterior edges (2).,,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C73,WIL02_REF,Wilson (2002) reference layer,reference,2002,73,MC0073,MC0073,DENTARY_TOOTH_COUNT,"Dentary teeth, number: greater than 20 (0); 17 or fewer (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C74,WIL02_REF,Wilson (2002) reference layer,reference,2002,74,MC0074,MC0074,REPLACEMENT TEETH/ALVEOLUS,"Replacement teeth per alveolus, number: two or fewer (0); more than four (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C75,WIL02_REF,Wilson (2002) reference layer,reference,2002,75,MC0075,MC0075,PROCUMBENT_DENTITION,"Teeth, orientation: perpendicular (0) or oriented anteriorly relative (1) to jaw margin.",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C76,WIL02_REF,Wilson (2002) reference layer,reference,2002,76,MC0076,MC0076,LINGUAL_CROWN_GROOVES,"Teeth, longitudinal grooves on lingual aspect: absent (0); present (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C77,WIL02_REF,Wilson (2002) reference layer,reference,2002,77,MC0077,MC0077,SPONGY_BONE,"Presacral bone texture: solid (0); spongy, with large, open internal cells, ‘camellate’ (Britt, 1993, 1997) (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C78,WIL02_REF,Wilson (2002) reference layer,reference,2002,78,MC0078,MC0078,PRESAC_PLEUROCOELS,"Presacral centra, pneumatopores (pleurocoels): absent (0); present (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C79,WIL02_REF,Wilson (2002) reference layer,reference,2002,79,MC0079,MC0079,ATL_IC_ELONGATE,"Atlantal intercentrum, occipital facet shape: rectangular in lateral view, length of dorsal aspect subequal to that of ventral aspect (0); expanded anteroventrally in lateral view, antero- posterior length of dorsal aspect shorter than that of ventral aspect (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C80,WIL02_REF,Wilson (2002) reference layer,reference,2002,80,MC0080,MC0080,#CERVICALS,"Cervical vertebrae, number: 9 or fewer (0); 10 (1); 12 (2); 13 (3); 15 or greater (4).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C81,WIL02_REF,Wilson (2002) reference layer,reference,2002,81,MC0081,MC0081,CERVICAL_LAMINAE_RUD,"Cervical neural arch lamination: well developed, with well defined laminae and coels (0); rudimen- tary; diapophyseal laminae only feebly developed if present (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C82,WIL02_REF,Wilson (2002) reference layer,reference,2002,82,MC0082,MC0082,CERVICALS_OPISTHOCOELOUS,"Cervical centra, articular face morphology: amphicoelous (0); opisthocoelous (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C83,WIL02_REF,Wilson (2002) reference layer,reference,2002,83,MC0083,MC0083,DIVIDED_PLEUROCOELS,"Cervical pneumatopores (pleurocoels), shape: simple, undivided (0); complex, divided by bony septa (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C84,WIL02_REF,Wilson (2002) reference layer,reference,2002,84,MC0084,MC0084,ANT CV CENTRA H/W=1.25,"Anterior cervical centra, height:width ratio: less than 1 (0); approximately 1.25 (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C85,WIL02_REF,Wilson (2002) reference layer,reference,2002,85,MC0085,MC0085,BIFID ANT CV NSP'S,"Anterior cervical neural spines, shape: single (0); bifid (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
WIL02_REF:C86,WIL02_REF,Wilson (2002) reference layer,reference,2002,86,MC0086,MC0086,LONG_CERVICALS,"Mid-cervical centra, anteroposterior length/ height of posterior face: 2.5-3.0 (0); > 4 (1).",,,,origin,,,Wilson (2002),,,,high,,Reference definition layer; not the project's separately analysed W02/WE14 dataset.
