relationship_id,source_occurrences,target_occurrence,canonical_character_id,original_canonical_character_id,relationship_type,confidence,source_block,source_attribution,source_reference_codes,related_non_equivalent_concepts,top_candidate,top_candidate_score,rationale
REL-WU09-024,WIL02_REF:C24,WU09:C24,MC0024,MC0024,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-025,WIL02_REF:C25,WU09:C25,MC0025,MC0025,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-026,WIL02_REF:C26,WU09:C26,MC0026,MC0026,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-027,WIL02_REF:C27,WU09:C27,MC0027,MC0027,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-028,WIL02_REF:C28,WU09:C28,MC0028,MC0028,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-029,WIL02_REF:C29,WU09:C29,MC0029,MC0029,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-030,WIL02_REF:C30,WU09:C30,MC0030,MC0030,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-031,WIL02_REF:C31,WU09:C31,MC0031,MC0031,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-032,WIL02_REF:C32,WU09:C32,MC0032,MC0032,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-033,WIL02_REF:C33,WU09:C33,MC0033,MC0033,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-034,WIL02_REF:C34,WU09:C34,MC0034,MC0034,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-035,WIL02_REF:C35,WU09:C35,MC0035,MC0035,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-036,WIL02_REF:C36,WU09:C36,MC0036,MC0036,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-037,WIL02_REF:C37,WU09:C37,MC0037,MC0037,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-038,WIL02_REF:C38,WU09:C38,MC0038,MC0038,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-039,WIL02_REF:C39,WU09:C39,MC0039,MC0039,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-040,WIL02_REF:C40,WU09:C40,MC0040,MC0040,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-041,WIL02_REF:C41,WU09:C41,MC0041,MC0041,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-042,WIL02_REF:C42,WU09:C42,MC0042,MC0042,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-043,WIL02_REF:C43,WU09:C43,MC0043,MC0043,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-044,WIL02_REF:C44,WU09:C44,MC0044,MC0044,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-045,WIL02_REF:C45,WU09:C45,MC0045,MC0045,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-046,WIL02_REF:C46,WU09:C46,MC0046,MC0046,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-047,WIL02_REF:C47,WU09:C47,MC0047,MC0047,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-048,WIL02_REF:C48,WU09:C48,MC0048,MC0048,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-049,WIL02_REF:C49,WU09:C49,MC0049,MC0049,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-050,WIL02_REF:C50,WU09:C50,MC0050,MC0050,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-051,WIL02_REF:C51,WU09:C51,MC0051,MC0051,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-052,WIL02_REF:C52,WU09:C52,MC0052,MC0052,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-053,WIL02_REF:C53,WU09:C53,MC0053,MC0053,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-054,WIL02_REF:C54,WU09:C54,MC0054,MC0054,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-055,WIL02_REF:C55,WU09:C55,MC0055,MC0055,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-056,WIL02_REF:C56,WU09:C56,MC0056,MC0056,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-057,WIL02_REF:C57,WU09:C57,MC0057,MC0057,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-058,WIL02_REF:C58,WU09:C58,MC0058,MC0058,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-059,WIL02_REF:C59,WU09:C59,MC0059,MC0059,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-060,WIL02_REF:C60,WU09:C60,MC0060,MC0060,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-061,WIL02_REF:C61,WU09:C61,MC0061,MC0061,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-062,WIL02_REF:C62,WU09:C62,MC0062,MC0062,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-063,WIL02_REF:C63,WU09:C63,MC0063,MC0063,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-064,WIL02_REF:C64,WU09:C64,MC0064,MC0064,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-065,WIL02_REF:C65,WU09:C65,MC0065,MC0065,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-066,WIL02_REF:C66,WU09:C66,MC0066,MC0066,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-067,WIL02_REF:C67,WU09:C67,MC0067,MC0067,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-068,WIL02_REF:C68,WU09:C68,MC0068,MC0068,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-069,WIL02_REF:C69,WU09:C69,MC0069,MC0069,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-070,WIL02_REF:C70,WU09:C70,MC0070,MC0070,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-071,WIL02_REF:C71,WU09:C71,MC0071,MC0071,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-072,WIL02_REF:C72,WU09:C72,MC0072,MC0072,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-073,WIL02_REF:C73,WU09:C73,MC0073,MC0073,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-074,WIL02_REF:C74,WU09:C74,MC0074,MC0074,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-075,WIL02_REF:C75,WU09:C75,MC0075,MC0075,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-076,WIL02_REF:C76,WU09:C76,MC0076,MC0076,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-077,WIL02_REF:C77,WU09:C77,MC0077,MC0077,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-078,WIL02_REF:C78,WU09:C78,MC0078,MC0078,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-079,WIL02_REF:C79,WU09:C79,MC0079,MC0079,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-080,WIL02_REF:C80,WU09:C80,MC0080,MC0080,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-081,WIL02_REF:C81,WU09:C81,MC0081,MC0081,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-082,WIL02_REF:C82,WU09:C82,MC0082,MC0082,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-083,WIL02_REF:C83,WU09:C83,MC0083,MC0083,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-084,WIL02_REF:C84,WU09:C84,MC0084,MC0084,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-085,WIL02_REF:C85,WU09:C85,MC0085,MC0085,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-086,WIL02_REF:C86,WU09:C86,MC0086,MC0086,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-087,WIL02_REF:C87,WU09:C87,MC0087,MC0087,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-088,WIL02_REF:C88,WU09:C88,MC0088,MC0088,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-089,WIL02_REF:C89,WU09:C89,MC0089,MC0089,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-090,WIL02_REF:C90,WU09:C90,MC0090,MC0090,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-091,WIL02_REF:C91,WU09:C91,MC0091,MC0091,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-092,WIL02_REF:C92,WU09:C92,MC0092,MC0092,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-093,WIL02_REF:C93,WU09:C93,MC0093,MC0093,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-094,WIL02_REF:C94,WU09:C94,MC0094,MC0094,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-095,WIL02_REF:C95,WU09:C95,MC0095,MC0095,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-096,WIL02_REF:C96,WU09:C96,MC0096,MC0096,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-097,WIL02_REF:C97,WU09:C97,MC0097,MC0097,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-098,WIL02_REF:C98,WU09:C98,MC0098,MC0098,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-099,WIL02_REF:C99,WU09:C99,MC0099,MC0099,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-100,WIL02_REF:C100,WU09:C100,MC0100,MC0100,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-101,WIL02_REF:C101,WU09:C101,MC0101,MC0101,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-102,WIL02_REF:C102,WU09:C102,MC0102,MC0102,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-103,WIL02_REF:C103,WU09:C103,MC0103,MC0103,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-104,WIL02_REF:C104,WU09:C104,MC0104,MC0104,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-105,WIL02_REF:C105,WU09:C105,MC0105,MC0105,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-106,WIL02_REF:C106,WU09:C106,MC0106,MC0106,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-107,WIL02_REF:C107,WU09:C107,MC0107,MC0107,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-108,WIL02_REF:C108,WU09:C108,MC0108,MC0108,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-109,WIL02_REF:C109,WU09:C109,MC0109,MC0109,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-110,WIL02_REF:C110,WU09:C110,MC0110,MC0110,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-111,WIL02_REF:C111,WU09:C111,MC0111,MC0111,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-112,WIL02_REF:C112,WU09:C112,MC0112,MC0112,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-113,WIL02_REF:C113,WU09:C113,MC0113,MC0113,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-114,WIL02_REF:C114,WU09:C114,MC0114,MC0114,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-115,WIL02_REF:C115,WU09:C115,MC0115,MC0115,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-116,WIL02_REF:C116,WU09:C116,MC0116,MC0116,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-117,WIL02_REF:C117,WU09:C117,MC0117,MC0117,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-118,WIL02_REF:C118,WU09:C118,MC0118,MC0118,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-119,WIL02_REF:C119,WU09:C119,MC0119,MC0119,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-120,WIL02_REF:C120,WU09:C120,MC0120,MC0120,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-121,WIL02_REF:C121,WU09:C121,MC0121,MC0121,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-122,WIL02_REF:C122,WU09:C122,MC0122,MC0122,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-123,WIL02_REF:C123,WU09:C123,MC0123,MC0123,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-124,WIL02_REF:C124,WU09:C124,MC0124,MC0124,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-125,WIL02_REF:C125,WU09:C125,MC0125,MC0125,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-126,WIL02_REF:C126,WU09:C126,MC0126,MC0126,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-127,WIL02_REF:C127,WU09:C127,MC0127,MC0127,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-128,WIL02_REF:C128,WU09:C128,MC0128,MC0128,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-129,WIL02_REF:C129,WU09:C129,MC0129,MC0129,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-130,WIL02_REF:C130,WU09:C130,MC0130,MC0130,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-131,WIL02_REF:C131,WU09:C131,MC0131,MC0131,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-132,WIL02_REF:C132,WU09:C132,MC0132,MC0132,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-133,WIL02_REF:C133,WU09:C133,MC0133,MC0133,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-134,WIL02_REF:C134,WU09:C134,MC0134,MC0134,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-135,WIL02_REF:C135,WU09:C135,MC0135,MC0135,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-136,WIL02_REF:C136,WU09:C136,MC0136,MC0136,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-137,WIL02_REF:C137,WU09:C137,MC0137,MC0137,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-138,WIL02_REF:C138,WU09:C138,MC0138,MC0138,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-139,WIL02_REF:C139,WU09:C139,MC0139,MC0139,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-140,WIL02_REF:C140,WU09:C140,MC0140,MC0140,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-141,WIL02_REF:C141,WU09:C141,MC0141,MC0141,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-142,WIL02_REF:C142,WU09:C142,MC0142,MC0142,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-143,WIL02_REF:C143,WU09:C143,MC0143,MC0143,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-144,WIL02_REF:C144,WU09:C144,MC0144,MC0144,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-145,WIL02_REF:C145,WU09:C145,MC0145,MC0145,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-146,WIL02_REF:C146,WU09:C146,MC0146,MC0146,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-147,WIL02_REF:C147,WU09:C147,MC0147,MC0147,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-148,WIL02_REF:C148,WU09:C148,MC0148,MC0148,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-149,WIL02_REF:C149,WU09:C149,MC0149,MC0149,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-150,WIL02_REF:C150,WU09:C150,MC0150,MC0150,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-151,WIL02_REF:C151,WU09:C151,MC0151,MC0151,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-152,WIL02_REF:C152,WU09:C152,MC0152,MC0152,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-153,WIL02_REF:C153,WU09:C153,MC0153,MC0153,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-154,WIL02_REF:C154,WU09:C154,MC0154,MC0154,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-155,WIL02_REF:C155,WU09:C155,MC0155,MC0155,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-156,WIL02_REF:C156,WU09:C156,MC0156,MC0156,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-157,WIL02_REF:C157,WU09:C157,MC0157,MC0157,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-158,WIL02_REF:C158,WU09:C158,MC0158,MC0158,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-159,WIL02_REF:C159,WU09:C159,MC0159,MC0159,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-160,WIL02_REF:C160,WU09:C160,MC0160,MC0160,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-161,WIL02_REF:C161,WU09:C161,MC0161,MC0161,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-162,WIL02_REF:C162,WU09:C162,MC0162,MC0162,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-163,WIL02_REF:C163,WU09:C163,MC0163,MC0163,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-164,WIL02_REF:C164,WU09:C164,MC0164,MC0164,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-165,WIL02_REF:C165,WU09:C165,MC0165,MC0165,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-166,WIL02_REF:C166,WU09:C166,MC0166,MC0166,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-167,WIL02_REF:C167,WU09:C167,MC0167,MC0167,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
REL-WU09-168,WIL02_REF:C168,WU09:C168,MC0168,MC0168,inherited_unchanged,high,,,,,,,Same numbering and character definition; WU09 uses Wilson (2002) definition.
